Order_ID,Order_Date,Customer_ID,Customer_Name,Product,Category,Quantity,Unit_Price,Revenue,City,Payment_Method,Order_Status,Customer_Age,Sales_Channel
ORD0362,4/25/2025,C1081,Priya,PRINTER,Office,2,9999,19998,Delhi,UPI,completed,44,Online
ORD0074,2/6/2025,C1019,,keyboard,accessories,3,999,2997,Ahmedabad,Net Banking,Cancelled,46,Online
ORD0375,6/15/2025,C1144,Vikram,usb cable,,4,499,1996,Chennai,UPI,completed,42,store
ORD0156,6/13/2025,C1203,Rahul,USB Cable,Accessories,7,299,2093,Kolkata,Debit Card,PENDING,65,Store
ORD0105,2/1/2025,C1243,Anjali,Tablet,Electronics,5,9999,49995,Hyderabad,Net Banking,Completed,21,online
ORD0395,1/2/2025,C1081,,monitor,Electronics,7,8999,62993,Kolkata,Debit Card,COMPLETE,41,Store
ORD0378,3/9/2025,C1034,Amit,Tablet,Electronics,5,24999,124995,Pune,Cash,cancelled,27,Online
ORD0125,13/06/2025,C1107,Rohit,Tablet,electronics,7,24999,174993,Delhi,Debit Card,Pending,57,store
ORD0069,6/11/2025,C1176,Rahul,printer,Office,2,14999,29998,Ahmedabad,Debit Card,Completed,33,Online
ORD0451,6/16/2025,C1191,Karan,Webcam,accessories,5,1999,9995,Hyderabad,UPI,Pending,26,online
ORD0010,5/7/2025,C1024,,Keyboard,Accessories,3,1499,4497,Bangalore,Cash,PENDING,22,store
ORD0195,4/9/2025,C1061,Anjali,Keyboard,accessories,1,999,999,Chennai,Net Banking,cancelled,54,Online
ORD0407,5/27/2025,C1038,Rahul,headphones,accessories,3,999,2997,Bangalore,Net Banking,completed,56,ONLINE
ORD0085,3/30/2025,C1086,Karan,HEADPHONES,accessories,8,3999,31992,Pune,Credit Card,cancelled,,ONLINE
ORD0372,1/30/2025,C1195,Neha,WEBCAM,Accessories,6,2999,17994,Ahmedabad,Cash,cancelled,65,ONLINE
ORD0389,2/10/2025,C1137,Sneha,tablet,Electronics,1,15999,15999,Kolkata,Net Banking,Cancelled,58,Store
ORD0433,5/29/2025,C1026,Neha,Laptop,Electronics,4,72000,288000,Chennai,Credit Card,PENDING,34,Store
ORD0231,1/12/2025,C1001,,smartphone,Electronics,7,25000,175000,,Credit Card,cancelled,46,ONLINE
ORD0317,5/25/2025,C1016,Amit,Mouse,Accessories,4,599,2396,Pune,Net Banking,completed,55,Store
ORD0409,2/12/2025,C1186,Arjun,Headphones,accessories,3,2499,7497,Ahmedabad,Net Banking,Completed,32,store
ORD0390,5/22/2025,C1224,Karan,mouse,,,399,2394,Delhi,UPI,PENDING,56,store
ORD0033,3/20/2025,C1094,Rahul,Tablet,Electronics,3,9999,29997,Hyderabad,UPI,Cancelled,N/A,store
ORD0281,2/27/2025,C1083,Sneha,HEADPHONES,Accessories,1,3999,3999,Pune,Debit Card,COMPLETE,22,ONLINE
ORD0357,4/8/2025,C1200,Neha,Printer,Office,3,14999,44997,Bangalore,Cash,completed,25,store
ORD0077,2/16/2025,C1150,Vikram,WEBCAM,Accessories,8,1999,15992,Jaipur,,completed,39,online
ORD0462,5/26/2025,C1048,Karan,Mouse,accessories,8,399,3192,Jaipur,Debit Card,COMPLETE,56,ONLINE
ORD0195,4/9/2025,C1061,Anjali,Keyboard,accessories,1,999,999,Chennai,Net Banking,cancelled,54,Online
ORD0212,1/21/2025,C1237,Anjali,Keyboard,Accessories,6,1499,8994,Lucknow,Credit Card,Completed,35,store
ORD0102,1/10/2025,C1078,Anjali,Smartphone,Electronics,3,12000,36000,Hyderabad,Net Banking,Pending,42,store
ORD0335,3/23/2025,C1175,Amit,USB Cable,Accessories,7,499,3493,Jaipur,Debit Card,Cancelled,44,store
ORD0476,5/27/2025,C1103,Pooja,mouse,Accessories,5,399,1995,Mumbai,Debit Card,COMPLETE,48,Store
ORD0276,,C1225,Karan,webcam,accessories,5,1299,6495,Mumbai,Cash,Pending,65,online
ORD0441,2/11/2025,C1088,Sneha,Tablet,electronics,2,9999,19998,Chennai,Debit Card,PENDING,59,store
ORD0174,4/1/2025,C1013,Rahul,Keyboard,accessories,4,1499,5996,Ahmedabad,,Cancelled,52,Online
ORD0003,2/10/2025,C1179,Vikram,USB Cable,accessories,5,199,995,Bangalore,Credit Card,COMPLETE,39,Online
ORD0334,6/17/2025,C1183,Arjun,Monitor,Electronics,5,12999,64995,,Net Banking,COMPLETE,33,Online
ORD0410,1/5/2025,C1052,Karan,TABLET,Electronics,3,9999,29997,Ahmedabad,UPI,Pending,48,ONLINE
ORD0071,6/8/2025,C1016,Pooja,Tablet,Electronics,,24999,124995,Hyderabad,Debit Card,cancelled,23,Store
ORD0210,4/17/2025,C1105,Amit,Tablet,electronics,6,24999,149994,Bangalore,Net Banking,completed,33,Store
ORD0064,5/21/2025,C1085,Neha,MONITOR,electronics,7,18999,132993,,Debit Card,Pending,25,Store
ORD0385,5/18/2025,C1213,Meera,TABLET,Electronics,2,9999,19998,Mumbai,Credit Card,Completed,47,online
ORD0094,4/19/2025,C1177,Rohit,USB CABLE,accessories,5,499,2495,Hyderabad,Cash,COMPLETE,48,Online
ORD0236,3/27/2025,C1216,Pooja,MOUSE,accessories,1,599,599,Jaipur,Debit Card,completed,,ONLINE
